prize1_pre_3digits,prize2_pre_3digits,prize1_sub_3digits,prize2_sub_3digits,prize_2digits
56,330,587,375,43
454,943,544,591,9
429,931,196,635,61
600,648,882,456,89
58,410,584,964,85
55,265,92,280,91
346,412,778,961,14
335,913,19,349,63
167,398,272,970,44
355,324,426,615,66
37,699,57,344,46
521,596,692,291,91
431,739,737,742,67
268,708,387,601,11
261,384,66,780,62
281,867,491,947,16
519,628,202,874,30
0,681,386,971,9
739,678,693,731,99
500,780,269,187,65
670,678,797,551,71
111,914,290,698,99
420,800,355,544,73
577,919,748,984,55
195,664,377,523,80
181,789,101,664,92
389,443,564,849,47
7,522,250,425,58
912,411,855,593,14
170,786,409,421,8
722,532,157,973,64
722,839,343,922,70
37,158,606,799,15
206,996,194,278,50
971,540,631,432,75
298,725,210,604,83
271,300,284,876,42
893,266,447,282,14
159,834,61,279,53
287,242,2,542,61
549,285,228,106,92
679,817,213,652,2
247,736,236,540,6
778,518,41,325,9
289,859,413,508,58
738,391,578,870,10
349,985,989,788,3
236,834,234,691,7
85,644,592,816,57
942,61,509,485,30
731,786,119,529,92
591,979,419,547,36
97,629,476,522,83
739,740,401,485,82
648,471,844,245,57
247,458,331,755,95
602,964,295,798,38
285,361,379,449,83
609,817,379,7,90
278,302,123,458,79
421,666,160,355,23
103,307,4,785,69
58,174,233,927,70
794,73,511,414,29
54,7,447,668,17
620,193,978,723,45
615,843,276,970,14
306,18,498,129,18
13,143,264,478,56
755,283,393,577,5
36,902,396,256,19
290,838,51,806,73
861,318,57,817,39
605,248,282,651,97
367,653,566,878,15
336,804,321,924,19
377,828,72,517,70
93,776,834,984,84
368,741,208,255,46
154,598,62,245,40
189,464,980,45,38
594,757,110,595,59
127,220,623,853,57
636,725,342,957,98
712,614,364,733,88
575,931,578,809,92
510,533,682,494,53
95,362,94,307,83
876,882,565,625,64
264,489,562,582,24
285,430,191,364,22
285,430,191,364,22
258,726,404,661,77
294,328,597,780,98
515,952,30,918,94
259,552,375,927,6
4,132,379,595,68
116,382,140,250,81
43,138,555,665,97
617,261,457,13,81
164,640,85,194,32
323,806,21,206,79
255,625,132,598,15
392,920,606,797,59
947,733,925,939,85
210,847,274,439,20
149,912,563,580,89
135,983,562,795,58
901,355,556,113,88
239,864,6,375,86
625,884,127,800,29
589,713,215,560,46
669,949,18,828,71
43,476,374,699,25
512,930,966,968,23
888,959,403,975,52
148,883,154,877,64
137,999,830,837,65
881,910,612,879,56
643,779,197,948,4
206,412,127,660,65
31,913,701,884,2
480,948,297,369,62
45,307,561,988,67
471,930,140,876,16
